especie,especieCBRO
Hemitriccus furcatus,Hemitriccus furcatus
Hemitriccus kaempferi,Hemitriccus kaempferi
Hemitriccus obsoletus,Hemitriccus obsoletus
Hemitriccus orbitatus,Hemitriccus orbitatus
Herpetotheres cachinnans,Herpetotheres cachinnans
Herpsilochmus atricapillus,Herpsilochmus atricapillus
Heteroxolmis dominicana,Heteroxolmis dominicanus
Hydropsalis anomala,Hydropsalis anomala
Hydropsalis candicans,Hydropsalis candicans
Hydropsalis forcipata,Hydropsalis forcipata
Hydropsalis maculicaudus,Hydropsalis maculicaudus
Hylocharis cyanus,Chlorestes cyanus
Hylocharis sapphirina,Hylocharis sapphirina
Hylopezus nattereri,Cryptopezus nattereri
Hylophilus amaurocephalus,Hylophilus amaurocephalus
Hymenops perspicillatus,Hymenops perspicillatus
Hypoedaleus guttatus,Hypoedaleus guttatus
Ibycter americanus,Ibycter americanus
Iodopleura pipra,Iodopleura pipra
Ixobrychus exilis,Ixobrychus exilis
Ixobrychus involucris,Ixobrychus involucris
Jabiru mycteria,Jabiru mycteria
Jacamaralcyon tridactyla,Jacamaralcyon tridactyla
Laniisoma elegans,Laniisoma elegans
Laniocera hypopyrra,Laniocera hypopyrra
Larus atlanticus,Larus atlanticus
Larus maculipennis,Chroicocephalus maculipennis
Laterallus exilis,Laterallus exilis
Laterallus xenopterus,Laterallus xenopterus
Lepidocolaptes angustirostris,Lepidocolaptes angustirostris
Lepidocolaptes wagleri,Lepidocolaptes wagleri
Leptasthenura platensis,Leptasthenura platensis
Leptasthenura striolata,Leptasthenura striolata
Leptodon cayanensis,Leptodon cayanensis
Leptotriccus sylviolus,Phylloscartes sylviolus
Lessonia rufa,Lessonia rufa
Leucopternis lacernulata,Amadonastur lacernulatus
Leucopternis lacernulatus,Amadonastur lacernulatus
Leucopternis polionota,Pseudastur polionotus
Leucopternis polionotus,Pseudastur polionotus
Limnoctites rectirostris,Limnoctites rectirostris
Limnornis curvirostris,Limnornis curvirostris
Limosa haemastica,Limosa haemastica
Lipaugus lanioides,Lipaugus lanioides
Lipaugus vociferans,Lipaugus vociferans
