"Especie","Nome_Comum","Categoria"
"Chlorostilbon mellisugus","esmeralda-de-cauda-azul","Pouco Preocupante"
"Chlorostilbon lucidus","besourinho-de-bico-vermelho","Pouco Preocupante"
"Stephanoxis lalandi","beija-flor-de-topete-verde","Pouco Preocupante"
"Stephanoxis loddigesii","beija-flor-de-topete-azul","Pouco Preocupante"
"Campylopterus largipennis","asa-de-sabre-da-guiana",NA
"Campylopterus obscurus","asa-de-sabre-de-cauda-escura","Pouco Preocupante"
"Campylopterus calcirupicola","asa-de-sabre-da-mata-seca",NA
"Campylopterus diamantinensis","asa-de-sabre-do-espinhaco",NA
"Campylopterus hyperythrus","asa-de-sabre-canela","Pouco Preocupante"
"Campylopterus duidae","asa-de-sabre-de-peito-camurca","Pouco Preocupante"
"Thalurania furcata","beija-flor-tesoura-verde","Pouco Preocupante"
"Thalurania watertonii","beija-flor-de-costas-violeta","Em Perigo"
"Thalurania glaucopis","beija-flor-de-fronte-violeta","Pouco Preocupante"
"Eupetomena macroura","beija-flor-tesoura","Pouco Preocupante"
"Aphantochroa cirrochloris","beija-flor-cinza","Pouco Preocupante"
"Thalaphorus chlorocercus","beija-flor-pintado","Pouco Preocupante"
"Saucerottia viridigaster","beija-flor-de-barriga-verde","Pouco Preocupante"
"Chrysuronia versicolor","beija-flor-de-banda-branca","Pouco Preocupante"
"Chrysuronia rondoniae","beija-flor-de-cabeca-azul",NA
"Chrysuronia oenone","beija-flor-de-cauda-dourada","Pouco Preocupante"
"Chrysuronia brevirostris","beija-flor-de-bico-preto","Pouco Preocupante"
"Chrysuronia leucogaster","beija-flor-de-barriga-branca","Pouco Preocupante"
"Leucochloris albicollis","beija-flor-de-papo-branco","Pouco Preocupante"
"Chionomesa fimbriata","beija-flor-de-garganta-verde","Pouco Preocupante"
"Chionomesa lactea","beija-flor-de-peito-azul","Pouco Preocupante"
"Hylocharis sapphirina","beija-flor-safira","Pouco Preocupante"
"Hylocharis chrysura","beija-flor-dourado","Pouco Preocupante"
"Elliotomyia chionogaster","beija-flor-verde-e-branco","Pouco Preocupante"
"Chlorestes cyanus","beija-flor-roxo","Pouco Preocupante"
"Chlorestes notata","beija-flor-de-garganta-azul","Pouco Preocupante"
"Opisthocomus hoazin","cigana","Pouco Preocupante"
